[20 jun 18:37:44] Created new character, Makai(268481738), hernan 192.168.0.100
[20 jun 18:46:54] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 18:55:49] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 18:56:58] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 18:57:30] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 18:57:45] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 18:59:30] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 18:59:35] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:00:05] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:00:10] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:06:36] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:06:59] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:07:55] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:08:12] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:09:07] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:09:25] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:10:09] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:10:17] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:18:50] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:19:11] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:19:38] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:19:45] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:20:14] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:20:23] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:20:43] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:21:54] Created new character, TagLife(268481956), facu 192.168.0.100
[20 jun 19:21:56] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 19:22:36] Logged out, TagLife(268481956) facu 192.168.0.100
[20 jun 19:22:51] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 19:30:18] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 19:31:35] Logged out, TagLife(268481956) facu 192.168.0.100
[20 jun 19:31:56] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 19:46:53] Logged out, TagLife(268481956) facu 192.168.0.100
[20 jun 19:47:56] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 19:50:37] Logged out, TagLife(268481956) facu 192.168.0.100
[20 jun 19:50:43] Logged in, Makai(268481738) hernan 192.168.0.100
[20 jun 19:51:39] Logged out, Makai(268481738) hernan 192.168.0.100
[20 jun 19:51:45] Logged in, TagLife(268481956) facu 192.168.0.100
[20 jun 20:18:50] Logged in, TagLife(268481956) facu 181.31.123.207
[20 jun 20:48:40] Logged in, Makai(268481738) hernan 190.17.40.248
[20 jun 20:51:10] Logged out, Makai(268481738) hernan 190.17.40.248
[20 jun 20:55:11] Logged in, Makai(268481738) hernan 190.17.40.248
[20 jun 20:56:10] Logged out, Makia(268481738) hernan 190.17.40.248
[20 jun 20:56:12] Logged in, Makia(268481738) hernan 190.17.40.248
[20 jun 21:19:32] Logged in, TagLife(268481956) facu 181.31.123.207
[20 jun 22:37:28] Logged in, Makia(268481738) hernan 190.17.40.248
[20 jun 22:37:40] Logged in, TagLife(268481956) facu 181.31.123.207
[20 jun 23:07:01] Disconnected, TagLife(268481956) facu 181.31.123.207
[20 jun 23:13:56] Disconnected, Makia(268481738) hernan 190.17.40.248
[20 jun 23:17:23] Logged in, Makia(268481738) hernan 190.17.40.248
[20 jun 23:33:25] Logged in, Makia(268481738) hernan 190.17.40.248
[20 jun 23:34:57] Disconnected, Makia(268481738) hernan 190.17.40.248
